,,CAsT 2019,CAsT 2019,CAsT 2019,CAsT 2019,CAsT 2020,CAsT 2020,CAsT 2020,CAsT 2020
,,MRR@10,NDCG@3,NDCG@10,Time,MRR@10,NDCG@3,NDCG@10,Time
Model,Search,,,,,,,,
Dragon,Exact,0.8082,0.5289,0.4929,,0.7651,0.4742,0.4631,
Dragon,HNSW,0.7969,0.5267,0.4909,0.250   (-),0.7669,0.4762,0.4649,0.325   (-)
Dragon,TopLoc HNSW,0.7978,0.5243,0.4868,0.024   (10.5x),0.7574,0.4711,0.4619,0.068   (4.8x)
Snowflake,Exact,0.8158,0.5501,0.502,,0.7885,0.5065,0.4741,
Snowflake,HNSW,0.8129,0.5493,0.5017,3.030   (-),0.7885,0.5067,0.4746,0.732   (-)
Snowflake,TopLoc HNSW,0.8129,0.5493,0.5019,0.762   (4.0x),0.789,0.5075,0.475,0.283   (2.6x)
